------------------------------------------------------------
 Plot
------------------------------------------------------------
Ic (A), Beta parameter (unitless)
      3.96119693e-16,        -1.0449991762
      6.42517118e-16,       -1.93010989996
      4.54937985e-15,       -39.3851056046
      6.55692282e-14,        72.8743058036
      1.01963401e-12,        167.705697319
      1.59250287e-11,        413.714079252
       2.4850486e-10,         776.81310071
      3.87017713e-09,        1071.43212827
      5.98968758e-08,        1293.69268464
      8.81187306e-07,        1850.65750018
      8.86860326e-06,        1794.99023805
      1.11020678e-05,        1666.61293467
      1.23000044e-05,        1590.41075445
      1.28773486e-05,        1542.22113192
      1.32207142e-05,        1459.13744372
      1.35628704e-05,         1268.3726796
      1.40670902e-05,          946.1480493
      1.43075684e-05,        817.278076761
      1.48109963e-05,        612.354385741
        1.601057e-05,        352.670905704
      1.67494501e-05,        272.013997459
      1.76047702e-05,        212.328567078
      1.85982459e-05,        167.794684707
      1.97349496e-05,        134.042923812
      2.10004172e-05,        107.922074759
      2.42682317e-05,        72.4863234969
      2.59113514e-05,        59.1664269307
       2.6887584e-05,        53.8236615043
      2.78016217e-05,        48.8014448163
      3.21371483e-05,        34.0939869312
      3.34313905e-05,        31.5066786904
      3.45857774e-05,        29.0058950882
      3.57862996e-05,        26.8116152015
      3.71558449e-05,        24.9976389862
      3.95982105e-05,        21.7098429074
      4.21995648e-05,        19.2432556367
      4.46526725e-05,        17.2799895387
      4.66941914e-05,         15.644354652
      5.07145041e-05,        13.5940905178
      5.32167662e-05,        12.2541727245
      5.44998339e-05,        10.5485652732

