------------------------------------------------------------
 Plot
------------------------------------------------------------
Ic (A), Beta parameter (unitless)
      3.96236685e-16,       -1.04534081575
      6.43850645e-16,       -1.93552844917
      4.57009139e-15,       -42.4985401067
       6.5887949e-14,        71.9063631053
      1.02454609e-12,        175.566456568
      1.60006254e-11,        472.115318346
      2.49666188e-10,        1010.86063597
      3.88812342e-09,        1582.04352798
      6.02129154e-08,        2146.81731791
      8.94905335e-07,        4660.62787642
      9.70300177e-06,        9796.74531724
      1.22747309e-05,        9517.81955938
      1.35952598e-05,         7417.9246197
      1.46068597e-05,        4028.60815853
      1.73609273e-05,        1275.72986552
      1.95377915e-05,         750.08534625
      2.08962693e-05,        581.231181645
      2.17631347e-05,        516.674952336
      2.25373493e-05,        455.416354397
      2.45596476e-05,        362.006462165
      2.54636347e-05,        319.705238339
      2.64816871e-05,        283.682869459
      2.87256664e-05,         224.33013783
      3.01485028e-05,        201.637592582
      3.14457292e-05,        179.806288762
      3.84299737e-05,        119.593396303
      4.02240512e-05,        107.652350142
      4.24885119e-05,        98.2631971755
       4.6883361e-05,        81.1353105651
      4.95351317e-05,        74.5794839038
      5.21825311e-05,         68.477976265
      5.45155104e-05,          62.36775487
      5.73988351e-05,        57.6227070383
      6.04566609e-05,        53.4833389711
      6.33650829e-05,        49.5305565418
      6.58800619e-05,        45.5897954882
      6.88863154e-05,        42.5160728332
      8.11249456e-05,        33.4342880948
      8.57076057e-05,        29.7347256364
      9.01903867e-05,        27.0011353122
      9.64749739e-05,        22.8357488935
      9.57255228e-05,        18.8852291892

